Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,AM,PM,Vehicle Year,Make,Model,License Plate Number,Vehicle Identification Number,State Vehicle Is Registered In,Address Of Accident,City,County,State,Zip Code,Moving,Stopped In Traffic,Pedestrian Involved,Bicyclist Involved,Undefined,Other,Number Of Vehicles Involved,Damage: Unknown,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Click 1,Left Rear 1,Rear Bumper,Right Rear 1,Left Rear 2,Left Rear 3,Right Rear 2,Right Rear 3,Left Rear Passenger 1,Left Rear Passenger 2,Right Rear Passenger 1,Right Rear Passenger 2,Left Rear Passenger 3,Left Rear Passenger 4,Right Rear Passenger 3,Right Rear Passenger 4,Front Driver Side 1,Front Driver Side 2,Front Passenger Side 1,Front Passenger Side 2,Front Driver Side 3,Front Driver Side 4,Front Passenger Side 3,Front Passenger Side 4,Left Front Corner 1,Left Front Corner 2,Right Front Corner 1,Right Front Corner 2,Left Front Corner 3,Front Bumper,Model_2,License Plate Number_2,Vehicle Identification Number_2,State Vehicle Is Registered In_2,Moving_2,Stopped In Traffic_2,Pedestrian_2,Bicyclist_2,Undefined_2,Other_2,Number Of Vehicles Involved_2,Drivers Full Name First Middle Last_2,Conventional Mode,Accident Detail Description,Additional Information Attached_3,Weather A 1,Weather A 2,Weather B 1,Weather B 2,Weather C 1,Weather C 2,Weather D 1,Weather D 2,Weather E 1,Weather E 2,Weather F 1,Weather F 2,Weather G 1,Weather G 2,Lighting A 1,Lighting A 2,Lighting B 1,Lighting B 2,Lighting C 1,Lighting C 2,Lighting D 1,Lighting D 2,Lighting E 1,Lighting E 2,Roadway A 1,Roadway A 2,Roadway B 1,Roadway B 2,Roadway C 1,Roadway C 2,Roadway D 1,Roadway D 2,Road Conditions A 1,Road Conditions A 2,Road Conditions B 1,Road Conditions B 2,Road Conditions C 1,Road Conditions C 2,Road Conditions D 1,Road Conditions D 2,Road Conditions E 1,Road Conditions E 2,Road Conditions F 1,Road Conditions F 2,Road Conditions G 1,Road Conditions G 2,Road Conditions H 1,Road Conditions H 2,Movement A 1,Movement A 2,Movement  B 1,Movement  B 2,Movement C 1,Movement C 2,Movement  D 1,Movement  D 2,Movement  E 1,Movement  E 2,Movement  F 1,Movement  F 2,Movement  G 1,Movement  G 2,Movement  H 1,Movement  H 2,Movement  I 1,Movement  I 2,Movement J 1,Movement J 2,Movement  K 1,Movement  K 2,Movement  L 1,Movement  L 2,Movement  M 1,Movement  M 2,Movement  N 1,Movement  N 2,Movement  O 1,Movement  O 2,Movement  P 1,Movement  P 2,Movement  Q 1,Movement  Q 2,Movement  R 1,Movement  R 2,Type A 1,Type A 2,Type B 1,Type B 2,Type C 1,Type C 2,Type D 1,Type D 2,Type E 1,Type E 2,Type F 1,Type F 2,Type G 1,Type G 2,Type H 1,Type H 2,Other A Yes,Other A No,Other B,Other C,Other D,Other E,Other F,Other G,Other H Yes,Other H No,Other I,Other J,Other K,Other L,Right Front Corner 3,Vehicle Year_2,Autonomous Mode,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
GM Cruise LLC,Cruise,1/7/2019,6:54,,Yes,2019.0,Chevrolet,Bolt,,,CA,Folsom St. and 11th St.,San Francisco,San Francisco,CA,94103.0,Yes,,,,,,2,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,Yes,,,,,,Pcx150,,,CA,Yes,,,,,,2.0,,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in conventional mode, was making a left turn from northeast bound Folsom Street onto northwest bound 11th Street when a scooterist, attempting to pass the Cruise AV on the left, made contact with the front left side of the Cruise AV, damaging the front left fender, radar, and wheel well of the Cruise AV.  The scooterist reported injuries and emergency services and the police arrived at the scene, but the scooterist declined medical treatment.  No police report was available at the time of the filing of this report. ",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7725,-122.4147,-1,0,1,1,4
Aurora Innovation Inc,Aurora Innovation Inc,1/10/2019,2:52,,Yes,2017.0,Lincoln,MKZ,,,California,Townsend and 3rd,San Francisco,San Francisco,CA,94107.0,,Yes,,,,,2,,,,Yes,,,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Honda CR-V,,,California,Yes,,,,,,2.0,,Yes,"On 01/10/19 at 2:52pm, an Aurora vehicle, while stopped at a red traffic light in manual mode on Townsend and 3rd, was struck in the rear bumber by a Honda CR-V approaching from behind. There was moderate damage to the Aurora vehicle's right sensor, mount, and side quarter panel. There was minimal damage to the Honda's front right bumper. Both vehicles were operational and pulled over on a side street to exchange vehicle and insurance information. No injuries were reported and no police were requested nor present at the scene.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,37.7790958,-122.3927648,0,0,1,1,1
GM Cruise LLC,Cruise,1/10/2019,11:29,Yes,,2019.0,Chevrolet,Bolt,,,CA,S. Van Ness Ave between 12th St. and 13th St.,San Francisco,San Francisco,CA,94103.0,Yes,,,,,,2,,,Yes,,,,,,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,Prius,,,CA,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northbound on South Van Ness Street near the Howard Street fork when another vehicle, turning right onto South Van Ness from Howard, made contact with the right rear corner of the Cruise AV, causing damage to the Cruise AV’s rear bumper.  There were no injuries and police were not called. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7708195,-122.4174639,0,0,1,1,1
Waymo LLC,Waymo LLC,1/26/2019,3:24,,Yes,2017.0,Chrysler,Pacifica,,,CA,Shoreline Blvd. at El Camino Real,Mountain View,Santa Clara,CA,94041.0,,Yes,,,,,2,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toyota RAV4,,,CA,Yes,,,,,,2.0,,Yes,"Per the DMV's request of 02/21/2019, Waymo is resubmitting this OL316 so the DMV's digital version is compliant with accessibility requirements under AB 434. Waymo's original report was submitted on 01/31/2019.

A Waymo Autonomous Vehicle (“Waymo AV”) in manual mode was yielding to check for cross traffic while in the slip lane to turn from southbound Shoreline Boulevard to westbound El Camino Real in Mountain View when it was rear-ended by a passenger vehicle. The Waymo AV sustained minor damage to the rear left of the vehicle, and the passenger vehicle had minor damage to the front right of the vehicle. No injuries were reported.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3893,-122.0783,-1,0,1,1,1
Waymo LLC,Waymo LLC,2/6/2019,9:08,Yes,,2017.0,Chrysler,Pacifica,,,CA,Central Expressway and Shoreline Boulevard,Mountain View,Santa Clara,CA,94043.0,,Yes,,,,,2,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lexus IS250,,,CA,Yes,,,,,,2.0,,,"Per the DMV's request of 02/21/2019, Waymo is resubmitting this OL316 so the DMV's digital version is compliant with accessibility requirements under AB 434. Waymo's original report was submitted on 02/14/2019.

A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in the slip-lane from northbound Shoreline Boulevard to northbound Central Expressway in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic from the left when a passenger vehicle rear-ended the Waymo AV while travelling approximately 4 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle had minor damage to its front bumper. No injuries were reported at the scene but the two operators in the Waymo AV later reported minor headache and neck soreness. They sought medical attention and both were cleared to return to work.",,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,37.4056,-122.0775,0,0,1,1,1
Waymo LLC,Waymo LLC,2/10/2019,4:14,,Yes,2017.0,Chrysler,Pacifica,,,CA,SB Highway 85 at El Camino Real,Mountain View,Santa Clara,CA,94040.0,Yes,,,,,,2,,,Yes,,,,,,,Yes,,,,Yes,,,,Yes,,,,Yes,,,,Yes,,,,,,,,,,Chevrolet Traverse,,UNK,CA,Yes,,,,,,2.0,UNK,Yes,"Per the DMV's request of 02/21/2019, Waymo is resubmitting this OL316 so the DMV's digital version is compliant with accessibility requirements under AB 434. Waymo's original report was submitted on 02/19/2019.

A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in autonomous mode in the far right lane on southbound Highway 85 passing El Camino Real in Mountain View. A passenger vehicle entered the highway from El Camino Real and made an unsafe maneuver by crossing over a solid white line and cutting-in to the Waymo AV’s lane. Out of an abundance of caution, the Waymo AV’s test driver disengaged the autonomous mode on the Waymo AV and made an evasive maneuver into the left adjacent lane at approximately 45 MPH. As the test driver made the maneuver, the Waymo AV came into contact with a second passenger vehicle that had been approaching from behind in the left adjacent lane. The Waymo AV sustained minor damage and tire marks to the driver side of the vehicle, and the second passenger vehicle sustained no damage. The driver of the second passenger vehicle stopped to exchange information with the Waymo test driver, but after volunteering that there was no damage to their vehicle, left the scene. The first passenger vehicle did not stop. There were no injuries reported.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,37.3855,-122.088,0,0,1,1,1
GM Cruise LLC,Cruise,2/14/2019,5:30,Yes,,2019.0,Chevrolet,Bolt,,,CA,Gough St. and Fell St.,San Francisco,San Francisco,CA,94102.0,Yes,,,,,,2,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celica,,unk,CA,Yes,,,,,,2.0,,Yes,"Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southbound on Gough Street at the intersection with Fell Street when the Cruise AV began to yield to a car on its right. The driver of the Cruise AV disengaged from autonomous mode, and shortly thereafter, another vehicle made contact with the center rear bumper of the Cruise AV, damaging the rear radar mounting bracket of the Cruise AV. There were no injuries and police were not called.",,,,,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7759847,-122.4232102,0,0,1,1,0
Waymo LLC,Waymo LLC,2/26/2019,6:56,Yes,,2017.0,Chrysler,Pacifica,,,CA,Miramonte Avenue at Covington Road,Los Altos,Santa Clara,CA,94024.0,,Yes,,,,,2,,,,,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Mazda 3,,,,Yes,,,,,,2.0,,,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode at the intersection of Miramonte Avenue and Covington Road in Los Altos when it was involved in a collision. The Waymo AV was traveling northbound on Miramonte Avenue, when it reached a four-way stop sign intersection. The Waymo AV stopped to yield to another vehicle at the intersection, at which time a passenger vehicle rear-ended the Waymo AV at approximately 39 MPH. At the time of the collision the Waymo AV had been stopped for approximately 1.5 seconds. The Waymo AV sustained major damage to its rear bumper, rear hatch, and rear quarter panels, and the passenger vehicle sustained major damage to its front bumper, hood, and front quarter panels. First responders attended to the scene, but neither party reported injuries.",,,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3547,-122.0862,0,0,1,1,1
GM Cruise LLC,Cruise,2/27/2019,6:04,Yes,,2019.0,Chevrolet,Bolt,,,CA,Gough St. and Rose St.,San Francisco,San Francisco,CA,94102.0,Yes,,,,,,2,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Dodge Sprinter,,,CA,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southbound on Gough Street between Rose and Haight Streets when another vehicle, following closely behind the Cruise AV, made contact with the rear center bumper of the Cruise AV, damaging two fastening clips on the underside of the Cruise AV’s rear bumper. There were no injuries and police were not called.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7813,-122.4167,-1,0,0,1,0
"Lyft, Inc.","Lyft, Inc.",2/28/2019,2:06,,Yes,2017.0,Ford,Fusion Hybrid,,,CA,Northbound Shoreline Boulevard and Wright Ave,Mountain View,Santa Clara,CA,94043.0,,Yes,,,,,2,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Mercedes Benz E Class 4D 2WD 350,,,CA,Yes,,,,,,,,Yes,"At approximately 2:06 pm on February 28, 2019, a Lyft Autonomous Vehicle (""Lyft AV""), operating in manual mode, was struck at very low speed from behind by a 3rd party passenger vehicle while waiting to make a protected left turn in Mountain View, CA. The driver of the Lyft AV had been inched forward after being stopped at a red light for approximately 105 seconds on NB Shoreline Boulevard while waiting to make a left turn onto Wright Avenue. The driver of the 3rd party passenger vehicle verbally stated that she had pressed both the accelerator and the brake pedal simultaneously. The Lyft AV sustained minor damage to the rear bumper. The 3rd party passenger vehicle sustained minor damage to the front bumper and grill. No injuries were reported and the police were not notified.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4056,-122.0775,0,0,1,1,1
